Nom du jeu;Plateforme;Studio de développement;Date de sortie
Dungeon Master;Super Nintendo;Software Heaven / FTL Games;1993
Earth Defense Force;Super Nintendo;Jaleco;1992
Earthworm Jim;Super Nintendo;Shiny Entertainment;16/12/1994
Earthworm Jim 2;Super Nintendo;Shiny Entertainment;25/01/1996
Eek! The Cat;Super Nintendo;CTA Developments;1994
Equinox;Super Nintendo;Software Creations;25/03/1994
ESPN Baseball Tonight;Super Nintendo;Park Place Productions;11/1994
Euro Football Champ;Super Nintendo;Taito;1992
F-Zero;Super Nintendo;Nintendo EAD;11/04/1992
F1 Pole Position;Super Nintendo;Human Entertainment;12/1993
F1 Pole Position 2;Super Nintendo;Human Entertainment;29/12/1993
F1 ROC: Race of Champions;Super Nintendo;SETA;1992
F1 World Championship Edition;Super Nintendo;Domark;01/01/1995
Family Dog;Super Nintendo;Imagineering;1993
Fatal Fury;Super Nintendo;Takara;1993
Fatal Fury 2;Super Nintendo;Takara;1994
Fatal Fury Special;Super Nintendo;Monolith;1995
Fever Pitch Soccer;Super Nintendo;U.S. Gold;1995
FIFA 97: Gold Edition;Super Nintendo;Electronic Arts;22/11/1996
FIFA International Soccer;Super Nintendo;Extended Play Productions;23/06/1994
FIFA Soccer 96;Super Nintendo;Extended Play Productions / Probe Entertainment;23/11/1995
FIFA: Road to World Cup 98;Super Nintendo;Electronic Arts;03/09/1997
Final Fight;Super Nintendo;Capcom;10/12/1992
Final Fight 2;Super Nintendo;Capcom;12/1993
Final Fight 3;Super Nintendo;Capcom;13/03/1996
First Samurai;Super Nintendo;Vivid Image;1993
Flashback;Super Nintendo;Delphine Software International / Tiertex Design Studios;1994
Foreman For Real;Super Nintendo;Software Creations;28/09/1995
Frank Thomas' Big Hurt Baseball;Super Nintendo;Iguana Entertainment;1995
Frantic Flea;Super Nintendo;Haus Teknikka;1996
Full Throttle: All-American Racing;Super Nintendo;Gremlin Interactive;1994
Fun 'n Games;Super Nintendo;Leland Interactive Media;25/05/1994
Ghoul Patrol;Super Nintendo;LucasArts;1994
Gods;Super Nintendo;Bitmap Brothers;1992
Goof Troop;Super Nintendo;Capcom;25/11/1993
GP-1;Super Nintendo;Atlus;1993
Hagane: The Final Conflict;Super Nintendo;CAProduction / Red Company;04/1995
Hal's Hole in One Golf;Super Nintendo;HAL Laboratory;22/10/1992
Hanna Barbera's Turbo Toons;Super Nintendo;Empire Interactive;11/1994
