Nom du jeu;Plateforme;Studio de développement;Date de sortie
The Jungle Book;Super Nintendo;Eurocom Entertainment Software;24/09/1994
The King of Dragons;Super Nintendo;Capcom;08/1994
The Lawnmower Man;Super Nintendo;Sales Curve Interactive;1993
The Legend of the Mystical Ninja;Super Nintendo;Konami;1994
The Legend of Zelda: A Link to the Past;Super Nintendo;Nintendo EAD;24/09/1992
The Lion King;Super Nintendo;Westwood Studios;11/11/1994
The Lost Vikings;Super Nintendo;Silicon & Synapse;28/10/1993
The Lost Vikings 2;Super Nintendo;Blizzard Entertainment;27/02/1997
The Magical Quest Starring Mickey Mouse;Super Nintendo;Capcom;18/03/1993
The Mask;Super Nintendo;Black Pearl Software;26/10/1995
The Pagemaster;Super Nintendo;Probe Entertainment;23/05/1995
The Pirates of Dark Water;Super Nintendo;Sunsoft;1994
The Ren & Stimpy Show: Fire Dogs;Super Nintendo;Argonaut Software;02/1995
The Ren & Stimpy Show: Time Warp;Super Nintendo;Sculptured Software;1994
The Ren & Stimpy Show: Veediots!;Super Nintendo;Gray Matter;1993
The Simpsons: Bart's Nightmare;Super Nintendo;Sculptured Software;18/02/1993
The Smurfs;Super Nintendo;Infogrames;1994
The Smurfs Travel The World;Super Nintendo;Infogrames;1996
The Terminator;Super Nintendo;Gray Matter;1993
Theme Park;Super Nintendo;Bullfrog Productions;11/11/1994
Thomas the Tank Engine & Friends;Super Nintendo;Software Creations;31/12/1993
Time Slip;Super Nintendo;Sales Curve Interactive;1993
Time Trax;Super Nintendo;Malibu Interactive;07/1994
Timecop;Super Nintendo;Cryo Interactive;1996
Timon & Pumbaa's Jungle Games;Super Nintendo;Tiertex Design Studios;26/03/1998
Tintin in Tibet;Super Nintendo;Infogrames;14/12/1995
Tiny Toon Adventures: Buster Busts Loose!;Super Nintendo;Konami;24/06/1993
Tiny Toon Adventures: Wild & Wacky Sports;Super Nintendo;Konami;25/04/1994
TKO Super Championship Boxing;Super Nintendo;Sting Entertainment;1993
Tom and Jerry;Super Nintendo;Riedel Software Productions;1993
Top Gear;Super Nintendo;Gremlin Interactive;19/11/1992
Top Gear 2;Super Nintendo;Gremlin Interactive;1993
Top Gear 3000;Super Nintendo;Gremlin Interactive;1995
Total Carnage;Super Nintendo;Black Pearl Software;1993
Toy Story;Super Nintendo;Traveller's Tales;25/04/1996
Toys;Super Nintendo;Imagineering;1993
Troddlers;Super Nintendo;Atod;1993
True Golf Classics: Pebble Beach Golf Links;Super Nintendo;T&E Soft;1992
True Lies;Super Nintendo;Beam Software;29/06/1995
Tuff E Nuff;Super Nintendo;Jaleco;1993
Turn and Burn: No-Fly Zone;Super Nintendo;Absolute Entertainment;08/08/1994
U.N. Squadron;Super Nintendo;Capcom;12/1992
Ultimate Mortal Kombat 3;Super Nintendo;Avalanche Software;28/11/1996
Ultraman: Towards the Future;Super Nintendo;Nova Games;1992
Unirally;Super Nintendo;DMA Design;27/04/1995
Urban Strike;Super Nintendo;Granite Bay Software;1995
Utopia: The Creation of a Nation;Super Nintendo;Jaleco;08/1994
Val d'Isere Championship;Super Nintendo;Loriciel;28/04/1994
Vegas Stakes;Super Nintendo;HAL Laboratory;1993
Venom/Spider-Man: Separation Anxiety;Super Nintendo;Software Creations;1995
Virtual Bart;Super Nintendo;Sculptured Software;1994
Virtual Soccer;Super Nintendo;Probe Entertainment;1994
Vortex;Super Nintendo;Argonaut Software;12/1994
Wario's Woods;Super Nintendo;Nintendo / Intelligent Systems;1995
Warlock;Super Nintendo;Realtime Associates;1994
WarpSpeed;Super Nintendo;Accolade;1992
Waterworld;Super Nintendo;Ocean Software;1995
Wayne's World;Super Nintendo;Gray Matter;1993
We're Back! A Dinosaur's Story;Super Nintendo;Visual Concepts;1993
Weaponlord;Super Nintendo;Visual Concepts;1995
Where in the World Is Carmen Sandiego?;Super Nintendo;EA Canada;10/1993
Whirlo;Super Nintendo;Nova Games;1992
Whizz;Super Nintendo;Flair Software;1997
Wild Guns;Super Nintendo;Natsume Co., Ltd.;31/10/1996
Williams Arcade's Greatest Hits;Super Nintendo;Digital Eclipse Software;08/01/1997
Wing Commander;Super Nintendo;Origin Systems;1993
Wing Commander: The Secret Missions;Super Nintendo;Origin Systems;10/1993
Winter Gold;Super Nintendo;Funcom;28/11/1996
Winter Olympic Games: Lillehammer '94;Super Nintendo;U.S. Gold;24/02/1994
Wolfenstein 3D;Super Nintendo;Imagineer;1994
Wolverine: Adamantium Rage;Super Nintendo;Bits Studios;12/1994
World Class Rugby;Super Nintendo;Audiogenic;1993
World Cup Striker;Super Nintendo;Rage Software / Elite Systems;15/07/1994
World Cup USA '94;Super Nintendo;U.S. Gold;26/05/1994
World Heroes;Super Nintendo;Sunsoft;1993
World League Basketball;Super Nintendo;Sculptured Software;22/07/1993
World Masters Golf;Super Nintendo;Arc Developments;23/11/1995
World Soccer;Super Nintendo;Sculptured Software;Cancelled
Worms;Super Nintendo;Team17;27/09/1996
WWF RAW;Super Nintendo;Sculptured Software;12/1994
WWF Royal Rumble;Super Nintendo;Sculptured Software;1993
WWF Super WrestleMania;Super Nintendo;Sculptured Software;1992
WWF WrestleMania: The Arcade Game;Super Nintendo;Sculptured Software;25/01/1996
X-Kaliber 2097;Super Nintendo;Fupac / Winds;12/1994
X-Men: Mutant Apocalypse;Super Nintendo;Capcom;1995
X-Zone;Super Nintendo;Kemco;1993
Yogi Bear's Cartoon Capers;Super Nintendo;Blue Turtle;24/11/1994
Yoshi's Cookie;Super Nintendo;Bullet-Proof Software;1993
Yoshi's Safari;Super Nintendo;Nintendo R&D1;1993
Young Merlin;Super Nintendo;Westwood Studios;1994
Zero the Kamikaze Squirrel;Super Nintendo;Iguana Entertainment;30/03/1995
Zombies;Super Nintendo;LucasArts;04/10/1993
"Zool: Ninja of the ""Nth"" Dimension";Super Nintendo;Gremlin Interactive;1994
Zoop;Super Nintendo;Hookstone;1995
